Pay_in_INR,Gender,Score in Tenth,Score in Twelth,CollegeTier,GPA Score in Graduation,Score in English language,Score in Logical skill,Score in Quantitative ability,Score in Domain,Score in ComputerProgramming
400000,m,67.6,70.2,2,60.93,525,495,555,0.694479328,-100
145000,f,71,64,2,81,615,455,355,0.486747008,335
200000,f,75,66.8,2,68.5,370,470,260,0.3217565,385
300000,f,85,69,2,75,605,440,445,0.3423149,365
530000,m,88.64,65.16,2,74.81,435,485,465,0.864685413,525
70000,m,67.75,61.5,2,76.1,450,355,295,0.670743151,455
320000,m,54.5,61.6,2,70,405,395,605,0.600057182,435
180000,m,69,81.4,2,69.68,425,515,565,0.622642916,525
500000,f,94,88,1,71.4,755,545,585,0.81941653,505
295000,m,75.2,84.6,2,68.8,415,545,545,0.654107475,-100
320000,m,72.6,71.4,2,67,685,595,690,0.842248322,575
300000,m,81,67.7,2,67.7,510,480,705,0.916869961,555
205000,f,66,68,2,71,500,555,605,0.911395278,465
200000,m,71.17,72.4,2,69.68,505,445,435,0.864685413,525
300000,f,79.5,76,2,76,475,570,595,0.356536488,505
230000,f,76,58,2,74,405,510,330,0.356536488,435
260000,m,58,65,2,69.8,445,385,405,0.704090412,465
435000,m,85,64,2,65,465,505,515,0.53586282,-100
200000,f,90.01,82.83,2,76,465,370,450,0.842248322,445
405000,m,81,88.7,2,69.03,415,445,554,0.450876585,395
460000,m,77.6,82.6,2,77,565,525,655,0.714529363,-100
370000,m,91.52,81,2,76.7,465,545,485,0.377551419,375
205000,m,76,68.2,2,70,615,485,525,-1,445
155000,m,71,66,2,74.5,325,375,315,0.2766565,325
390000,m,77,62,2,63.5,495,505,515,0.563267824,425
305000,f,78.8,70,2,77.6,545,505,485,0.3107565,405
540000,m,86,75,2,79,445,355,385,0.525922584,415
180000,f,82.2,76,2,76.62,450,450,365,0.356536488,395
180000,m,79,56,2,60,415,485,500,0.840840969,-100
405000,m,87,67,2,67,435,335,435,0.654107475,-100
300000,m,86.4,79.8,2,72.5,675,495,445,0.799848205,-100
300000,m,92.3,83.6,2,80.16,615,560,635,0.557389506,345
220000,m,75.77,70.8,2,70.5,440,495,500,0.942116552,575
120000,m,73.8,60.2,2,69.74,520,570,485,0.486747008,425
300000,f,88,88,2,70.12,710,605,605,0.744758354,405
145000,m,87.07,71.5,2,76,440,365,235,0.622642916,365
100000,f,85,73,2,77,355,405,305,0.3690565,315
105000,m,84.93,81.5,2,65.18,640,520,465,-1,-100
305000,m,83,73,2,61.85,545,580,500,0.911395278,435
120000,f,67,61,2,75,370,410,320,0.488347977,405
65000,f,78,72,2,74.6,545,570,455,0.600057182,435
325000,m,78.1,72.6,2,74.8,450,425,485,0.694479328,-100
315000,m,94.2,89.8,2,80.6,475,525,665,0.938399137,345
300000,f,87.52,71.5,2,61.28,535,540,345,0.756180114,295
200000,f,87,96.5,2,78.56,490,580,535,0.493596387,-100
300000,m,77.8,74,2,67.3,554,595,544,0.901489571,545
500000,m,75.38,72,2,68.75,325,495,565,0.376059587,-100
305000,f,78,66.6,2,63,585,315,455,0.519863918,-100
145000,m,83,76,2,77,385,425,435,0.81941653,505
120000,f,70.61,72.66,2,75.16,525,460,605,0.744758354,-100
180000,m,65.8,76.8,2,77.5,430,495,470,0.938399137,-100
100000,m,58,52,2,61,455,385,345,0.413838256,385
300000,f,82,79,2,74,475,375,545,0.356536488,415
420000,f,85,95,2,77.5,575,635,565,0.843123727,515
210000,m,89.76,84.17,2,68.01,555,525,425,0.765673581,485
200000,m,76.53,85,2,66.8,335,385,325,0.3085565,-100
240000,m,48,51.4,1,77,395,410,430,0.875503907,-100
430000,m,83,82,2,71,425,465,470,-1,-100
275000,m,83.6,81,1,70,665,495,440,0.356536488,385
300000,m,79.85,72,2,61,630,460,415,0.622642916,475
325000,m,92,88.8,2,73,640,645,690,0.356536488,535
370000,m,81.6,72.2,2,65,665,525,595,0.755375121,345
360000,m,84,82,2,77.5,725,435,615,-1,-100
180000,m,76.7,90.1,2,78,570,555,545,0.744758354,485
310000,m,81.5,80.2,2,82,430,510,415,0.3423149,365
185000,m,54,61,2,71.23,640,485,485,0.450876585,395
175000,m,87.4,86.6,2,78.4,485,475,620,0.824666401,505
120000,m,83.5,87.3,2,64.7,425,575,645,-1,105
325000,m,73,61,2,72,555,495,575,0.2975565,285
300000,f,75,71.6,2,75.04,465,535,555,0.649389715,345
400000,f,72,68.5,2,74,580,580,400,0.635978757,445
180000,m,85,79,2,66,605,515,555,0.704090412,465
325000,m,77.6,77.4,2,72,630,520,355,0.842248322,645
325000,f,85,68.2,2,70,615,545,370,0.450876585,395
320000,m,64,62.8,2,71,580,435,370,-1,-100
100000,f,87,77,2,69,675,510,545,0.3833565,465
305000,f,94,94.75,2,89,545,425,470,0.557389506,435
550000,m,52,55,2,68,345,455,335,0.3723565,335
350000,m,83.5,87.2,2,79.95,580,615,510,0.953899775,485
500000,m,70.67,67.8,2,69.3,545,665,705,0.901489571,545
340000,m,84.8,89.2,2,72,605,595,675,0.824666401,-100
80000,f,67.12,56.8,2,72.8,440,410,135,0.3448565,-100
470000,f,65.3,74,2,89,505,555,715,0.953899775,585
375000,m,92,90,2,75,535,630,515,0.911395278,505
215000,m,70.83,71,2,62.71,605,385,435,0.3745565,305
325000,m,76.5,81.8,1,76.4,380,645,620,0.991230625,675
100000,m,79.67,72.67,2,69.53,525,425,570,0.622642916,585
95000,m,68,70,2,64,395,555,475,0.3811565,525
240000,m,88,83,2,72,625,555,590,0.3074565,345
160000,m,83,63,2,66,450,495,515,0.3690565,375
715000,m,83.43,73.4,2,76.99,565,615,515,0.990008757,655
495000,f,91.4,93,2,70.8,475,665,605,0.793580615,495
200000,f,88.8,69.4,2,75.3,615,495,450,0.783303537,-100
360000,m,78.5,82,2,77,425,425,435,0.525922584,415
320000,m,90.8,84.8,2,67.87,545,565,525,-1,525
450000,m,90.6,91.3,2,78.56,485,495,535,0.563267824,425
205000,m,89.4,94.5,2,74,490,445,405,0.2942565,385
155000,m,77,85,2,68,545,370,415,-1,345
250000,m,76.8,65,2,66.6,435,464,525,0.563267824,425
300000,f,81,66.3,2,76.3,675,510,400,0.622642916,415
160000,m,87.8,83.8,2,80,310,535,470,-1,-100
330000,f,92,93.8,2,84,545,460,475,0.793580615,495
200000,m,79,71.3,2,69.4,560,505,440,0.423951396,-100
530000,m,63,55,2,66,355,295,465,-1,-100
200000,m,56.16,54.08,2,61.28,465,495,355,0.649389715,355
210000,m,67,72,2,71.3,640,525,400,0.654107475,-100
475000,f,93.43,55.66,2,67.76,705,595,375,0.3360565,375
350000,m,87.4,90.2,1,76.1,535,485,560,0.744758354,535
450000,f,92,71,2,76,385,475,445,0.488347977,405
290000,f,85,80.6,2,71.06,640,475,560,0.413838256,385
120000,f,78,51.3,2,74.8,435,505,475,0.413838256,385
105000,m,65,75.6,2,62,350,480,465,0.450876585,395
120000,f,74,60,2,71.88,415,535,485,0.450876585,395
435000,m,76.66,80,2,75.21,545,525,750,0.960903087,595
400000,m,85.46,82.5,2,62,495,505,625,0.983749967,635
450000,m,90.56,88,2,78.54,485,585,535,0.694479328,-100
300000,m,89.4,88.4,2,77.67,590,555,560,0.974396113,615
180000,m,67.5,63.6,2,61.65,545,425,605,0.450876585,395
180000,m,87.2,71.67,2,74.55,325,470,470,0.356536488,505
470000,m,72,62,2,75,385,395,455,0.450876585,395
325000,m,77,66.8,2,78,465,525,645,0.783303537,275
2020000,m,72,70,2,78,430,400,235,0.2678565,325
145000,m,81.8,63.6,2,63.18,500,545,485,0.538386893,-100
450000,f,71,74,1,88,505,385,475,0.843123727,515
120000,m,90,94.5,2,72.69,490,455,450,0.2997565,-100
400000,m,83,85,2,63,455,405,464,0.635978757,445
290000,m,92.16,93.7,2,79.98,560,480,665,0.649389715,375
240000,m,53.4,66,2,60.62,300,520,330,0.744758354,335
180000,m,62.1,66,2,74.74,300,410,430,0.2667565,-100
660000,m,63.16,60.6,2,66,605,545,525,0.3514565,315
400000,f,85.6,84.4,2,71.8,755,425,605,0.899843844,544
335000,m,92.4,82.4,2,71.16,590,525,705,0.661834476,315
200000,m,71.04,81.33,2,74.04,335,540,415,0.622642916,435
120000,m,79,89.2,2,71,370,505,330,0.563267824,425
380000,m,80.4,92.25,2,67.22,755,620,570,-1,595
70000,m,70.25,68.6,2,80.02,250,460,385,0.3789565,365
150000,m,70.16,66.8,2,69.7,275,485,530,0.486747008,475
150000,m,70.3,89.1,2,68.18,505,440,565,-1,-100
150000,f,93,89,2,83,345,495,325,0.622642916,445
180000,m,82.2,81,1,81,395,425,460,0.783303537,525
400000,m,87.6,80.8,2,73.2,645,575,525,0.998680246,525
240000,f,69.17,65,2,71.78,510,470,370,0.525922584,415
120000,m,66.6,68.6,2,60.22,425,595,475,0.3536565,-100
105000,f,84.4,79.8,2,75.15,440,530,450,-1,-100
1500000,m,90.2,84.8,1,66.23,545,670,680,0.842248322,725
310000,m,75,61.7,2,79,365,365,425,0.377551419,375
445000,m,84,71,2,65,615,534,415,0.942116552,575
240000,m,86.3,89.7,2,71,360,460,430,0.744758354,515
120000,m,67,63,2,62.9,395,365,315,0.2733565,-100
180000,m,77.5,83,2,64.5,430,555,455,0.52911566,-100
180000,m,62.3,75.6,1,73.12,525,460,570,0.943272158,-100
180000,m,73.6,66.6,2,76,395,465,500,0.486747008,445
180000,m,63,69.32,2,71,335,350,345,0.2766565,355
380000,m,82,79.6,2,64.8,485,555,605,0.414337426,-100
445000,m,86.2,60.2,2,65.2,545,505,695,0.884122512,535
300000,m,76.6,72.2,2,78.84,475,475,425,0.8295846,-100
365000,m,92.6,83.8,1,84.6,650,545,665,0.978799293,585
255000,m,82,91.9,2,63,495,505,625,0.925140312,-100
540000,m,76,76,2,66,665,365,375,0.488347977,405
415000,m,86.83,75.2,1,67.7,685,510,705,0.3437565,365
180000,m,68,62.8,2,70.1,435,425,494,0.377551419,375
500000,m,84,90.3,2,81,405,465,565,0.490636956,415
1745000,m,87.6,79.8,2,83.4,710,655,840,0.538386893,-100
570000,m,67.16,72,2,76.02,590,545,695,0.942116552,575
240000,f,83,74,2,86,535,485,500,0.538386893,415
120000,m,85,85.6,2,80,630,510,485,0.622642916,585
350000,m,61.6,57.83,2,65.12,655,425,555,0.635978757,445
600000,m,86.4,93.6,1,72.3,800,570,500,0.986525019,-100
320000,m,88.7,89.6,2,81.7,625,705,795,0.916869961,555
120000,m,63.6,53.6,2,60,545,395,465,0.81941653,505
390000,m,81.6,81.8,2,65.2,545,620,885,0.979521744,625
210000,m,74.8,63.4,2,68.28,510,450,455,0.3030565,325
145000,m,66.5,66.4,2,66,500,560,560,0.376059587,-100
110000,m,81.83,89.1,2,65.4,465,510,450,-1,-100
510000,m,88.76,85.2,1,78.16,615,555,765,0.930370607,565
105000,m,77.7,64.1,2,76.2,475,385,405,0.377551419,375
400000,m,70,75,2,70,355,425,435,0.3030565,-100
200000,f,51.36,73.3,2,69.2,365,385,315,0.413838256,385
180000,m,83,81,2,79.2,440,655,705,0.837620726,285
620000,m,87.16,86.9,2,78.53,535,485,555,0.735795709,475
205000,f,64,60,2,65,665,555,310,0.450876585,395
330000,m,71.2,85.5,2,74,625,520,325,0.2931565,335
120000,f,67.06,70.67,2,58.4,440,440,385,0.3657565,435
335000,f,86.3,71.8,2,86.3,535,485,595,0.493596387,585
105000,f,77.4,68.8,2,75.16,625,500,560,0.758379883,-100
260000,m,57.67,74,2,76.26,555,495,810,0.843123727,515
145000,m,59.57,55,2,88,395,540,535,0.992259189,665
145000,m,61.3,63,2,6.95,465,485,565,0.635978757,445
180000,m,73.1,74.6,2,68.1,455,480,415,0.943272158,-100
300000,f,68.5,61.85,2,75.81,365,355,415,0.670743151,455
500000,m,90.4,97.5,2,87.1,555,625,595,0.3305565,555
170000,m,85.6,75.6,2,70,525,505,645,0.538386893,-100
295000,m,72.3,82.6,2,60.45,435,445,544,0.2788565,355
310000,m,82.8,89.2,2,75,405,395,500,0.88162007,705
240000,m,90.81,94.91,2,83.4,555,520,370,0.3767565,445
220000,m,83,72,2,75,380,595,680,0.2909565,-100
180000,m,76.6,82.2,2,76.8,485,525,505,0.3349565,395
570000,m,87,80,2,84,525,505,450,0.356536488,525
305000,m,68.8,86,2,76.05,570,535,590,0.978799293,515
325000,m,90,95,2,76.5,735,455,430,0.2634565,-100
325000,f,86.4,85.4,2,77,640,530,430,-1,96
180000,f,79,75.69,1,67.6,510,545,570,0.486747008,555
350000,f,77,63,2,73.6,590,375,560,0.377551419,375
95000,m,81,71,2,74,500,500,545,0.670743151,455
180000,f,86,87.7,2,82.33,490,505,390,0.3690565,475
335000,m,77,66,2,78,580,530,465,0.3426565,405
315000,f,88.4,79.2,1,69.54,525,705,524,-1,-100
350000,m,88,75,2,70,595,625,585,0.622642916,495
120000,m,79.6,72.5,2,62.28,640,625,595,0.996744487,495
120000,m,59.33,72.77,2,75.96,545,630,500,0.842248322,465
110000,m,67,64,2,62,325,370,260,0.3558565,315
335000,f,83.4,90.4,1,86.6,485,585,650,0.824666401,-100
300000,m,59,60,2,67,485,645,515,0.765673581,485
200000,f,84.96,56.17,2,60.78,465,470,310,0.600057182,435
180000,m,64.4,79.2,2,70.14,560,545,595,0.81941653,505
215000,m,86,68.69,2,82.5,445,475,485,0.563267824,425
180000,m,69,89.2,2,62.6,325,465,475,0.910770164,325
240000,m,67.33,64,1,80,465,495,450,0.994050872,675
390000,m,85.2,79.4,2,70,585,595,575,0.81941653,505
45000,m,67,82.6,2,67.96,395,435,405,0.824666401,215
335000,m,85,88.3,2,75.52,545,655,445,0.3525565,385
360000,m,87.88,89,2,76.6,510,460,680,0.930370607,565
365000,f,70,69,2,76.11,565,445,625,-1,465
180000,m,76,74,2,77,475,500,500,0.839686084,-100
105000,m,86.17,83.9,2,68,430,400,465,0.3074565,315
550000,f,70.3,63.2,2,66.6,375,435,485,0.840840969,-100
220000,m,75,75,2,73,310,450,500,0.2843565,335
120000,m,70,62.16,2,70.88,505,395,385,0.538386893,405
460000,m,87.81,92.08,2,84.5,535,585,415,0.670743151,455
190000,m,73.5,67,2,66.6,555,520,500,0.793580615,495
275000,m,81,67.2,2,67.3,685,625,635,0.842248322,565
300000,m,76.17,78,2,73.17,535,510,620,0.942116552,575
100000,f,88,81,2,78.5,450,535,415,0.525922584,415
120000,f,88,87.8,1,76.3,660,495,590,0.824666401,475
175000,f,91.3,90.7,2,71.65,525,520,450,0.3118565,455
315000,f,83,84.9,2,69.4,525,460,405,0.3690565,475
645000,m,86.6,77.6,2,65.57,605,545,565,0.862625475,524
335000,m,92.4,88.75,2,87.8,570,445,485,0.486747008,545
180000,m,81,68,2,63.4,570,435,265,0.744758354,365
190000,m,73,76.2,2,61.5,435,285,355,0.2931565,335
335000,f,90,87,2,76,554,455,495,0.377551419,375
350000,m,63,61,2,61,555,435,475,-1,-100
240000,m,77.67,76.62,2,66.2,325,560,485,0.843123727,515
335000,m,80,77,2,75,545,555,765,0.824666401,-100
300000,f,76,88,2,67,520,620,665,0.864685413,525
100000,m,90.2,72.8,2,74,625,525,430,0.600057182,435
280000,m,79.8,80,2,63,625,575,535,0.930370607,565
360000,m,65,66,2,60.23,505,435,445,0.525922584,415
415000,f,78.08,62.5,2,84.3,405,545,365,0.793580615,495
300000,m,69.85,64.6,2,79.6,380,485,705,0.837620726,375
300000,f,96,92,2,80,315,475,565,0.694479328,265
320000,m,83.3,81,2,71.72,755,555,605,0.44619825,455
240000,f,73.8,66.6,2,70.41,570,630,545,0.911395278,445
340000,m,90.4,78.2,2,87.8,630,625,560,0.849802714,-100
180000,m,80.6,74.6,2,67.64,485,440,445,0.356536488,485
330000,m,88,90,2,63.29,580,470,555,0.783303537,-100
505000,m,73,58,2,66,475,215,335,0.3646565,355
200000,f,55,62.2,2,77,430,445,295,0.953899775,425
350000,m,68.6,70,2,71.3,520,535,620,0.376059587,-100
480000,m,84.5,93.6,2,77,435,505,615,0.600057182,435
200000,f,78,64.4,2,70.68,345,465,620,0.600057182,435
140000,m,66,66.66,2,66.22,450,545,765,0.901489571,545
310000,m,70.2,55,2,87,425,485,345,0.942116552,575
90000,m,67,58,2,68,380,340,500,0.2711565,345
500000,f,80,73,2,76.1,495,555,575,0.793580615,495
1200000,m,92.8,87,1,95.3,695,675,725,0.824666401,-100
215000,m,80.13,69.17,2,60.34,590,440,385,0.996744487,475
200000,m,89,95,2,68,360,450,635,0.376059587,-100
120000,f,86,77,2,75,325,510,295,0.3822565,415
445000,m,76.48,77.16,2,79.3,485,485,285,0.694479328,325
180000,m,64,73.2,2,72,505,450,435,0.413838256,385
180000,m,70,43.42,2,54.62,370,360,270,0.649389715,-100
335000,m,93.33,76.66,1,72,650,570,750,-1,515
315000,f,87.8,73.83,2,88,345,475,345,0.843123727,515
355000,f,92,94.9,2,76,595,475,684,0.916869961,555
310000,f,82.3,96.6,2,83,445,565,615,0.694479328,-100
325000,m,82.5,86.3,2,71,415,555,440,0.3954565,385
300000,f,72,62,2,72.18,500,470,445,-1,-100
420000,f,80,83,2,80.67,534,515,485,0.765673581,485
1000000,m,86,70,2,68.31,375,365,465,0.755375121,305
505000,m,70.1,68.6,2,66.52,695,505,605,0.930370607,565
450000,f,90,97.1,2,72.6,635,555,655,0.916869961,555
325000,m,93.6,81,1,76.5,590,595,680,0.493596387,-100
200000,m,74,65.4,2,68,500,580,665,0.765673581,485
300000,f,92.8,83,2,86.7,375,435,425,0.735795709,475
475000,m,85.17,80,2,68.24,465,565,635,0.930370607,565
180000,m,73,69,2,65.5,465,480,415,0.622642916,435
200000,m,72,62,2,68.8,360,355,250,0.563267824,425
115000,m,81.2,65.2,2,68.96,570,530,525,0.622642916,465
120000,m,81.2,78,2,70,485,525,310,0.843123727,515
345000,m,71,62,2,73,570,495,595,0.450876585,395
300000,m,68,65,2,61,265,395,365,0.2920565,-100
330000,m,86.8,77.2,2,77.2,345,445,325,0.3349565,-100
300000,m,72,71,2,72.46,475,360,570,0.563267824,425
310000,m,76,64,2,67,555,450,470,0.486747008,465
145000,m,54.8,61.6,2,73.3,415,645,735,0.968237496,605
415000,m,78.25,74.25,2,73,570,610,575,0.776578324,425
1110000,m,75.4,68.2,2,80,555,535,655,0.916869961,555
380000,m,80.4,81.8,2,71.6,645,635,665,0.864685413,525
305000,f,89,90.6,2,70.4,335,505,630,0.622642916,555
450000,m,73,68.69,2,65.66,355,455,415,0.3976565,-100
215000,f,71,68,2,70.86,430,510,405,0.356536488,465
450000,f,81.4,83.6,2,73,505,515,515,0.635978757,445
250000,f,75,81,2,67,560,410,465,0.622642916,445
405000,m,73,74,2,73.36,595,475,404,0.735795709,475
120000,m,82.28,87.2,2,77.26,560,540,475,-1,655
240000,m,71.5,60,2,68.74,415,355,455,0.3305565,335
530000,m,84,92,2,77.2,475,405,695,0.670743151,455
250000,m,69,61.3,2,69,430,425,295,0.3613565,175
560000,m,92.8,88.66,2,84.13,355,505,615,0.824666401,425
240000,m,79.6,73.6,2,70,535,625,554,0.744758354,565
380000,m,76,76,2,70,505,545,445,0.884122512,535
240000,m,76.7,85.5,2,81,595,375,370,0.486747008,475
180000,m,76.7,83.1,2,79.3,475,395,435,0.3514565,-100
200000,m,78.4,57.8,2,75.89,435,394,324,0.670743151,455
325000,m,93.8,90.4,1,78.53,580,605,590,0.2689565,435
240000,m,65.5,66,2,68.58,675,580,515,-1,-100
200000,f,66.8,64.33,2,75.65,450,580,385,0.744758354,375
400000,m,82.56,81.66,2,73.56,520,525,455,0.655766943,-100
180000,m,64,62,2,75,345,470,365,0.356536488,435
400000,f,78.61,76.33,2,63,485,475,445,0.81941653,505
450000,m,67.7,56.3,2,81.7,360,565,570,0.911395278,575
340000,m,71,58,2,71,545,295,375,0.3423149,365
505000,m,55,69,2,75,365,305,545,0.864685413,525
100000,m,88.2,83.58,2,74.48,395,395,330,0.459015841,-100
1200000,m,59.8,60.25,2,68.63,575,595,405,0.2689565,-100
220000,m,76.4,78.2,2,61.34,575,525,585,0.376059587,305
675000,m,60,59,2,67,515,555,425,0.600057182,435
325000,m,87,78,2,68,435,385,365,0.376059587,335
300000,m,89,71,2,66.8,580,595,665,0.930370607,565
275000,m,70.5,69.5,2,69.36,465,435,425,0.3943565,355
