Pay_in_INR,Gender,Score in Tenth,Score in Twelth,CollegeTier,GPA Score in Graduation,Score in English language,Score in Logical skill,Score in Quantitative ability,Score in Domain,Score in ComputerProgramming
300000,m,78.83,80.5,1,69.1,595,520,605,0.649389715,475
175000,m,85,67.8,2,67.22,510,500,455,0.649389715,-100
240000,m,67.6,62,2,67,545,580,390,-1,-100
545000,f,82,74,2,74,545,670,530,0.600057182,435
420000,m,80,73,2,71.5,555,375,605,0.694479328,375
455000,m,90,94.4,2,76.12,505,525,595,0.3041565,615
95000,m,67.2,58,2,54.2,435,525,195,0.600057182,435
180000,m,82,81,2,64,435,475,475,0.985461394,305
305000,m,88.8,94.6,2,80.6,510,525,720,0.938399137,345
180000,f,78,78,2,71,395,485,530,0.3305565,345
300000,f,74.62,70,2,75,515,435,375,0.377551419,375
335000,m,83.69,77.83,2,60.5,630,580,510,-1,565
160000,f,75.04,62.16,2,75.67,525,405,375,0.2799565,285
350000,m,82,62,2,62,640,535,590,0.953899775,475
240000,m,64.8,69.4,2,73.8,465,475,385,0.356536488,525
85000,m,70.14,50,2,70,700,570,475,0.842248322,515
360000,m,75,62.8,2,64.7,555,625,535,0.3734565,-100
250000,m,90.08,83.62,2,62.71,560,520,370,0.649389715,445
325000,m,93.8,76,1,72.5,615,415,680,0.3140565,425
85000,f,72.4,63.6,2,65,290,285,270,0.486747008,555
180000,f,66.6,67.3,2,71.08,395,390,555,0.493596387,365
300000,f,89,95,2,83.66,430,485,620,0.864685413,525
180000,m,71,74.2,2,61.1,515,485,445,0.2634565,315
125000,m,58,63,2,68.06,265,340,265,0.3239565,305
315000,m,78.8,71.6,2,73,790,570,750,0.995265706,-100
350000,m,82.6,63.6,2,71,535,525,530,0.735795709,475
270000,m,95.2,78.3,2,73.52,555,560,530,0.840840969,-100
240000,m,78,75,2,73,630,555,570,0.3855565,-100
240000,f,72.2,63,2,71.1,570,415,515,0.3184565,-100
300000,f,84,89.3,2,79,500,375,520,0.356536488,285
400000,m,89,83.5,2,74.5,755,485,555,0.598280692,-100
190000,m,65,64,2,72.14,500,500,370,0.655766943,-100
160000,m,79.6,52,2,60.64,465,460,515,0.488347977,405
120000,m,75,78.5,2,67,395,420,210,0.3943565,305
300000,f,88.3,87,2,70.44,370,535,500,0.635978757,445
420000,f,89.1,96.2,2,85.57,665,625,674,0.960603252,445
240000,m,77,69,2,84.1,490,590,655,-1,385
800000,m,93.44,90,2,87.6,515,475,635,0.942116552,575
220000,f,87.8,74.5,2,78.2,615,500,530,0.978799293,415
120000,m,49,75,2,65,525,455,425,0.525922584,415
310000,m,88.83,70.8,2,65.63,475,615,665,0.3811565,495
145000,m,74,71,2,80.7,500,520,455,0.864685413,525
290000,m,76.8,83.6,2,84.8,665,570,690,0.842248322,395
240000,m,80.4,80.6,2,65.12,545,450,525,-1,275
430000,m,65.33,76.24,2,71.11,515,575,605,0.413838256,385
260000,m,84.43,63.33,2,61.13,665,530,605,0.44619825,425
450000,m,89.6,67,2,75.37,615,595,554,0.998680246,-100
420000,m,87,90,2,75,615,545,475,0.3558565,455
90000,m,71.6,72.8,2,65.1,510,410,250,0.622642916,395
280000,m,82.8,92.4,2,74.5,395,510,605,0.3030565,385
420000,m,65,62,1,68,335,470,415,0.600057182,435
190000,m,92.5,95.2,2,76,395,455,485,-1,455
270000,m,83.6,69.83,2,60,380,580,470,0.3514565,-100
450000,f,85.66,82,2,75,485,645,635,0.884122512,535
195000,f,76.16,74,2,78.9,560,530,235,0.622642916,465
225000,m,86,78,2,64,475,440,515,0.3228565,355
355000,m,78.93,65,2,67.63,535,535,455,0.600057182,435
120000,m,50,57,2,65.06,395,425,425,0.744758354,385
450000,f,94.4,87,2,80.9,625,585,465,0.655766943,-100
320000,m,75,67.75,2,72.9,415,280,365,0.911395278,285
705000,m,90,92,2,76.4,695,450,665,0.538386893,485
165000,m,62.5,60,2,72,465,540,465,0.3712565,335
120000,m,74.8,79,2,71,735,565,370,-1,525
180000,m,66,65,2,58.82,250,425,415,0.538386893,345
305000,m,85.73,69,2,74.9,535,555,710,0.3976565,495
500000,m,77.92,83.6,2,91.6,465,485,555,0.985461394,445
150000,m,69,50,2,66,394,265,445,0.376059587,155
145000,m,86,73,2,65,520,520,400,0.488347977,405
175000,m,68.3,81.3,2,76,385,435,570,0.943272158,-100
180000,f,86.4,81.6,1,75.2,445,635,605,0.968237496,605
300000,m,62.5,68,2,74,395,285,475,0.995265706,-100
450000,m,74,66,2,80.07,595,515,495,0.735795709,475
300000,m,65,65.4,1,67.72,490,615,725,0.744758354,595
520000,m,65.8,65,2,65,525,455,535,0.3481565,355
1100000,m,85.6,83.6,1,74.64,635,585,625,0.974396113,615
415000,m,78.2,80.6,2,71.72,450,450,705,0.765673581,485
325000,f,88.25,79.57,2,87.7,465,495,450,0.493596387,385
225000,f,72,69,2,72,505,345,365,0.3423149,365
150000,f,64.8,75.2,2,67.2,430,455,320,0.3074565,-100
400000,m,80.6,80.7,2,72.5,625,525,635,0.493596387,435
145000,m,80,90.6,2,61,345,495,575,0.4031565,-100
100000,f,88.64,61.92,2,74.83,535,370,320,0.3690565,255
240000,f,80,79.2,2,71.4,395,420,270,0.486747008,415
275000,m,75.12,60,2,66.38,405,425,505,0.2865565,-100
150000,f,72.5,53.2,2,68,510,495,405,0.8295846,-100
300000,f,81,70,2,68,525,505,465,0.486747008,315
120000,m,73,54.2,2,66.55,430,420,545,0.486747008,435
120000,m,69,70,2,76,580,655,570,0.953899775,445
100000,f,67.23,65.5,2,61,385,420,370,0.843123727,515
140000,m,64,58.4,2,73,505,565,465,0.413838256,385
120000,m,72,69,1,70,555,365,565,0.3932565,-100
180000,m,71.5,68,2,69,450,620,430,0.486747008,405
250000,m,66,62,2,75,335,325,270,0.563267824,425
440000,f,79,83.4,2,72.7,535,485,525,0.376059587,-100
330000,m,69.6,74.6,2,70.85,545,580,720,0.901489571,545
95000,m,77.88,81.5,2,52.52,630,580,485,0.436962648,395
350000,m,89,91,2,87.4,520,585,485,0.901489571,545
150000,m,80,59,2,69.76,465,475,465,0.538386893,345
140000,m,89.3,76.4,1,76.91,535,465,605,0.538386893,-100
410000,f,84,71.83,2,61.32,495,535,425,0.4009565,-100
215000,m,44.16,62,2,71.6,500,510,415,0.974396113,615
200000,m,85.4,88.7,2,62,455,425,545,0.538386893,-100
325000,m,81.8,81.2,1,74.64,605,620,665,0.976292561,555
200000,m,73,62.12,2,63.02,500,460,510,0.622642916,-100
1300000,m,68.8,61.6,1,72,435,505,635,0.53586282,375
450000,m,83.33,85.6,2,73.59,625,605,525,0.910770164,445
390000,f,85.8,77.4,2,60.87,555,610,650,0.538386893,-100
345000,m,72.12,78,2,75,420,445,740,0.2777565,415
845000,m,75.46,53.83,1,57.98,575,585,625,0.884122512,535
225000,m,71,64.6,2,65.6,325,440,380,0.493596387,-100
180000,m,78.4,81.5,2,71.8,375,425,475,0.538386893,-100
560000,m,86.5,90.6,2,79.6,505,615,615,0.916869961,555
45000,m,62,60.2,2,70,310,495,500,0.694479328,395
565000,m,92.83,88,2,74.96,650,645,680,0.996155971,-100
150000,m,58,47.2,2,75,395,404,385,0.864685413,525
280000,m,61.1,60,2,65.62,360,470,195,0.450876585,395
325000,m,74.2,61,2,71,395,585,445,0.356536488,455
270000,m,81.92,61.46,2,64.7,565,465,415,0.843123727,515
300000,m,88,90,2,73.14,500,495,665,0.991230625,535
180000,m,57,58,2,74.8,520,595,515,0.842248322,605
190000,m,73.83,72.31,2,73,560,540,545,0.744758354,525
375000,m,79,66,2,90,535,445,525,0.600057182,435
305000,f,83,79,2,70,430,410,310,0.3404565,305
400000,m,91,87.2,2,87.9,440,425,560,0.3448565,335
300000,m,81.5,77.5,2,74.6,510,525,680,0.901489571,545
325000,f,74.6,83.75,2,70,325,375,335,0.3767565,345
240000,m,62.34,59,2,66.66,565,395,555,0.2832565,-100
420000,m,88,93.5,2,72.56,495,575,645,0.952245573,585
100000,f,74.4,71,2,75.88,375,395,375,0.600057182,435
335000,m,70.76,70.33,2,63.5,500,375,295,0.694479328,-100
550000,m,69.16,65.66,1,77.5,395,435,645,0.990008757,655
180000,m,91.8,82.7,1,75.39,580,640,720,0.971663491,-100
270000,m,49,52,2,68,545,375,565,0.704090412,465
325000,m,60.5,72.15,2,81,345,410,500,0.670743151,455
120000,m,72.1,77.2,2,68.9,405,565,475,0.486747008,445
240000,m,85.2,64,2,69,450,435,470,0.3822565,465
105000,m,48.5,59.77,2,64,335,515,565,0.942116552,575
250000,f,70,61,2,70,405,410,325,0.3426565,195
145000,m,72,54,2,64,335,535,400,0.486747008,395
250000,m,63.2,62.6,2,6.45,505,575,435,0.824666401,-100
200000,m,84.2,78.2,2,72.52,665,575,645,0.824666401,-100
240000,m,81,67,2,65,430,340,415,0.744758354,475
215000,f,89,86,2,83,395,345,485,0.563267824,425
505000,m,86,83.8,2,71.4,445,675,655,0.992259189,665
415000,m,80.2,79.8,2,75.72,415,435,554,0.978855302,-100
405000,m,77,60.2,2,68.5,570,475,500,0.488347977,405
235000,m,50.5,55,2,64.5,475,435,440,0.622642916,295
690000,f,88,81.8,1,75.43,675,674,684,0.960903087,595
200000,m,78,69,2,68,675,545,525,0.3481565,395
430000,m,74,82.3,2,75.5,435,615,525,0.952245573,585
400000,m,68,65,2,61.5,525,545,405,0.2832565,-100
100000,f,84.2,86.3,2,75.27,430,545,645,0.978799293,625
400000,m,90.5,95.3,2,88.8,735,565,554,0.843123727,515
225000,m,82.25,83.6,2,82.9,440,680,665,0.493596387,-100
160000,m,83,66,2,81,555,595,515,0.864685413,525
120000,m,79.8,74.5,2,74.3,255,365,315,0.2788565,225
215000,m,74,64,2,76,510,400,324,-1,104
445000,m,70,83.3,2,68.5,385,545,605,0.864685413,525
325000,m,90,94.5,2,72,365,395,455,0.824666401,395
300000,m,87.2,87.14,2,77,605,590,535,0.356536488,465
100000,f,87.5,95.3,2,80.95,425,465,535,0.538386893,335
130000,m,71.76,61.5,2,70.09,430,365,355,0.414337426,-100
275000,m,87.4,82.2,2,79.68,380,510,325,0.2997565,355
315000,m,78,84,2,85.78,325,435,545,0.842248322,485
280000,m,80.5,81.5,2,80,440,625,510,0.952245573,585
200000,m,60.8,62.4,2,60,495,425,645,0.538386893,385
315000,m,75.4,68.8,2,79,440,565,430,0.356536488,255
230000,m,60.7,65.66,2,77.7,545,535,470,-1,-100
480000,f,89.8,83.8,2,70,535,455,525,0.843123727,515
630000,m,80,70,2,66,555,425,325,0.824666401,455
405000,m,82.8,73.11,2,71.81,510,495,340,0.538386893,-100
120000,m,78.44,70.14,2,76,490,520,430,0.744758354,475
305000,f,92,89,2,64.08,800,475,695,0.356536488,535
425000,m,87.3,94.2,2,79.51,435,435,495,0.2953565,545
305000,m,80.2,63,2,88.2,454,435,425,0.525922584,415
335000,m,72.67,68.2,2,72.95,570,450,665,0.735795709,475
200000,m,74,74,2,73,465,415,305,0.450876585,395
325000,m,70,84,2,71,675,480,570,0.3360565,495
700000,m,72.33,67,2,70.84,535,470,620,0.953899775,495
75000,m,91.2,89,2,79.8,570,580,355,0.3976565,-100
195000,m,64.83,56.6,2,63.24,454,455,615,0.538386893,235
375000,f,89,97.6,2,80,505,495,525,0.735795709,475
145000,m,84,68,2,72,580,570,385,0.3514565,335
95000,m,82,87,2,70,675,625,595,0.704090412,465
500000,m,82,81,2,64,625,585,530,0.376059587,-100
300000,f,72,60,2,72.5,500,360,510,0.356536488,405
600000,m,92,90.66,2,82.53,675,555,635,0.824666401,-100
300000,m,87,84,1,75,545,485,545,0.3855565,-100
625000,m,65,75,2,65,465,375,585,0.985461394,485
370000,f,90,83.2,2,88.1,630,580,560,-1,465
200000,m,78.6,88.5,2,73,500,495,575,0.758379883,455
315000,m,80,65.2,2,68.96,640,555,620,0.622642916,615
180000,m,78,80.9,2,65,465,485,330,0.868736586,215
180000,m,83.33,92.2,2,72.85,580,565,510,0.3206565,435
400000,f,62.93,66,2,53.78,455,555,615,0.670743151,455
470000,m,89,78,2,80,645,535,615,0.985461394,465
205000,f,74,61.1,2,71,500,460,235,0.3008565,275
2300000,m,84.67,77.1,2,76.5,545,675,655,0.910770164,405
275000,m,88,92.3,2,90,455,485,500,0.493596387,435
325000,m,93.4,89.4,2,75.4,605,645,720,0.557389506,555
350000,m,83.2,72.3,2,68,545,620,515,0.960903087,595
525000,m,92,82.4,2,78.5,615,630,765,0.2854565,505
120000,f,82,86,2,81,405,375,585,0.704090412,465
325000,m,67.42,85.5,2,75.04,590,520,605,0.842248322,515
335000,f,82.4,69.16,2,84,615,470,470,0.744758354,365
205000,m,74,69,2,72,545,565,415,0.486747008,395
345000,m,72.8,65.4,2,70.59,425,515,475,0.744758354,525
315000,f,82,86,2,82,510,595,355,0.884122512,535
205000,f,79,72.5,2,66.43,525,360,370,0.3976565,-100
100000,m,72,73,2,70.6,405,545,280,0.3987565,455
240000,m,87.33,93.7,2,74.64,475,570,585,0.3822565,635
300000,f,78,69,2,78,535,350,515,0.3063565,-100
100000,m,88,92.5,2,77,485,560,505,0.493596387,335
330000,m,84.4,75.6,2,79,535,610,735,0.960603252,-100
245000,f,83,87,2,73.94,615,535,210,0.991230625,515
300000,f,93.4,75,2,63.7,655,615,615,0.884122512,535
400000,m,74.5,79.7,2,70,415,495,515,0.538386893,455
230000,f,75.3,76.5,2,72.56,500,290,330,0.488347977,405
240000,m,91,91,2,80.6,475,520,765,0.486747008,525
150000,m,70.2,61.8,2,69,455,370,485,0.622642916,395
630000,m,84.16,80.4,2,63.6,535,475,415,0.3811565,365
180000,m,65.17,70.2,2,65.66,335,395,455,0.525922584,415
515000,f,86.6,92,2,77.96,495,555,425,0.793580615,495
240000,f,67.25,63.4,2,69.97,455,565,565,0.694479328,365
325000,m,71.32,75.69,2,72.6,485,435,445,0.53586282,-100
880000,m,81.6,87.6,1,76.48,465,605,555,0.930370607,565
150000,m,81.4,91.25,2,75,395,390,280,0.2755565,-100
525000,m,77.86,64.33,2,70,590,555,590,0.990008757,655
220000,f,66.33,60,2,67.38,580,595,520,0.3129565,345
145000,m,64,60.01,2,60,500,425,250,0.3305565,-100
380000,m,81.4,82.8,2,73.5,465,580,680,0.990008757,655
220000,f,86,88,2,73,405,350,310,0.3316565,355
300000,m,84,72,2,83.8,770,460,465,0.995464719,685
345000,m,56,58,2,78,710,500,470,0.930370607,565
1000000,m,84,81,2,73.3,735,570,740,0.842248322,755
170000,f,67,67,2,72,450,460,340,0.649389715,455
320000,m,78.17,77.85,2,76.85,675,495,545,0.997698261,-100
115000,m,76,70,2,76,575,554,375,0.3162565,345
300000,m,88.5,95.2,2,78.36,465,520,525,0.725984148,-100
455000,m,78.28,53.55,2,53.78,545,465,425,0.413838256,385
350000,f,68.2,55.2,2,69.92,545,535,655,0.930370607,565
490000,f,87.2,75,2,71.4,605,635,565,0.901489571,545
360000,m,86.33,86.33,2,66.93,370,400,485,0.377551419,375
120000,m,82,72,2,64,455,425,365,0.563267824,425
470000,m,85,84,2,61,585,405,505,0.635978757,445
240000,m,90.6,78,1,62,710,565,690,0.3140565,395
200000,m,73,61,2,68.9,520,390,320,0.622642916,415
240000,m,53.6,61.2,2,65.24,385,565,525,0.538386893,415
200000,m,79.8,66.8,2,73.12,580,510,340,0.953899775,375
380000,m,77,73.4,2,77.07,355,455,515,0.563267824,425
200000,m,61,61.8,2,62.2,395,565,475,0.670743151,455
550000,m,82,88.4,2,72.46,660,460,635,0.661834476,-100
240000,m,82.46,79.67,2,69.46,395,495,470,0.971663491,-100
330000,m,85.4,68,1,69.4,765,640,680,0.875503907,395
200000,m,71,69,2,64.28,500,460,545,0.943272158,-100
280000,m,52.09,55.5,2,61.5,365,334,475,0.3118565,345
360000,f,84,94,2,82.24,565,505,515,0.901489571,545
380000,m,75.4,67.6,2,62.7,545,570,470,0.3800565,335
300000,m,86,85.4,2,75.3,755,520,655,0.2700565,405
575000,m,89,95.3,2,74.8,485,445,595,0.793580615,495
105000,m,66.5,68.77,2,77.04,430,570,470,0.356536488,635
110000,m,69,51.3,2,72,430,395,235,0.744758354,455
500000,m,85.4,71.6,2,84,555,620,575,0.911395278,725
145000,m,78.6,64.8,2,63.7,615,520,535,0.744758354,455
325000,f,86.6,88.5,2,67.17,465,510,520,-1,465
500000,m,88.8,96.5,2,81,365,385,425,0.3426565,345
100000,f,83.8,88.4,2,68,440,510,445,0.735795709,475
120000,m,63.6,60.8,2,68,440,460,405,0.486747008,385
410000,f,80.83,92.2,2,78.85,445,605,625,0.843123727,515
325000,m,58,60,2,66,345,335,445,0.3811565,-100
390000,m,77.4,78.8,2,74,675,655,615,0.538386893,-100
480000,m,88,80,2,78,455,684,635,0.974396113,615
315000,m,77.8,78,2,76,640,520,570,0.2832565,-100
150000,f,76,77,2,73,445,375,565,0.600057182,435
200000,m,85,75,2,60,675,480,500,0.842248322,425
425000,m,72.8,61.33,2,70.05,440,495,430,0.911395278,515
300000,m,79.38,74.4,2,75.9,510,545,590,0.974396113,615
350000,m,83.4,77,2,76,415,555,440,0.2887565,355
400000,m,90,71.5,2,76.5,554,695,685,0.3767565,425
100000,m,56.5,56.8,1,79.29,370,525,545,0.960903087,595
200000,m,69,65.8,2,81,520,555,605,0.414337426,-100
4000000,m,90.83,88.77,1,72.6,675,685,585,0.990008757,655
145000,m,82.3,73.2,2,71.1,545,520,390,0.725984148,375
180000,m,66,63.4,2,70.7,570,595,530,0.488347977,405
1300000,m,80,90,2,71.8,495,425,575,0.765673581,485
360000,f,90.8,88,2,81.5,395,525,605,0.982057124,-100
820000,m,82.4,76,2,82,585,665,715,0.538386893,-100
120000,f,84,78,2,70,675,555,690,0.735795709,475
300000,m,89.8,66.6,2,56.3,555,205,435,-1,-100
190000,m,58.7,50.3,2,62.5,355,375,265,0.3668565,205
325000,m,70,75,2,68,440,585,560,0.911395278,535
210000,m,74.6,63.6,2,69.92,535,485,565,0.661834476,335
240000,m,61,48,2,68.16,505,505,445,0.3778565,315
430000,f,82,73,2,63,485,355,555,-1,-100
530000,m,88.64,65.16,2,74.81,465,645,505,0.901489571,545
350000,f,78.4,79,2,75,575,485,495,0.600057182,435
150000,m,78.8,70.4,2,73,465,510,370,0.649389715,-100
100000,m,68,68,2,80,440,385,415,0.2667565,-100
240000,m,60,64,2,70,595,425,425,0.525922584,415
120000,f,75,73,2,70,505,485,445,0.538386893,245
325000,f,87,67,2,71,345,395,435,0.824666401,-100
470000,m,80.67,75.67,2,81.4,515,365,535,-1,-100
330000,m,74.8,80.1,2,79.1,640,470,565,0.765673581,485
200000,m,82,84.4,2,70,405,495,500,0.903940782,315
105000,m,69.2,58.6,2,63,605,435,505,0.538386893,305
115000,m,79,79.4,2,68.58,510,560,720,0.459015841,355
320000,m,89.5,81.4,2,60,735,510,585,0.725984148,-100
180000,m,69,52,2,64,454,475,465,0.824666401,-100
280000,m,78,91,2,64.62,405,425,380,-1,405
380000,m,88.8,93,2,88,650,610,385,0.901489571,545
300000,m,74.7,73,2,76,440,530,390,0.744758354,585
235000,m,78.16,64.83,2,63.65,560,510,450,-1,-100
200000,f,75.67,74.4,2,74.01,385,555,445,0.635978757,445
300000,m,88.4,91.5,1,75.2,605,485,650,0.3822565,425
180000,f,74,84.4,2,74.49,545,525,615,0.444617717,435
220000,f,92.8,82.3,2,78,475,555,695,0.670743151,455
310000,m,93.3,93.5,2,84,675,630,590,0.903940782,485
180000,m,86.2,73.4,2,64.5,605,500,590,0.2854565,-100
470000,m,70.4,69.2,2,70,565,635,715,0.884122512,535
500000,m,84.33,79.82,1,84.4,585,555,665,0.694479328,-100
265000,m,71.2,72,2,76.9,430,530,630,0.996744487,645
325000,m,63,64,2,70.9,455,475,475,0.842248322,635
300000,f,80,78,2,80.35,500,505,565,0.622642916,495
120000,m,68.6,64.3,2,73.5,505,575,475,0.694479328,-100
450000,f,91.6,90.2,2,74,615,610,680,0.978799293,495
235000,f,91,80,2,76,535,475,415,0.538386893,-100
335000,m,82.9,91.5,2,88.2,505,605,445,0.2942565,-100
320000,m,80.33,83,2,80,490,445,465,0.924609939,-100
150000,m,62,59.4,2,60,365,365,395,0.2645565,305
330000,m,66,74,2,75.5,310,460,620,0.783303537,-100
240000,m,75.4,74.7,2,63.1,665,665,635,0.670743151,455
350000,f,72.3,79.8,2,80,485,460,445,0.3085565,-100
505000,m,80.6,91,2,73.06,485,505,375,0.635978757,445
300000,m,78.4,69.4,2,69.53,590,450,485,0.960603252,-100
